Material_Hierarchy_Model_Node_Name,Material_Hierarchy_Parent_Hierarchy_Identifier,Material_Number,Iso_Country_Code,Category_ID,Category_Name,Source_Create_Timestamp,Logical_Deletion_Indicator,Production_Rounded_KgCO2,Transport_Rounded_KgCO2,Energy_Use_Rounded_KgCO2,Eol_Rounded_KgCO2,Cartridges_Rounded_KgCO2,Consumables_Rounded_KgCO2,Paper_Rounded_KgCO2,Total_Rounded_KgCO2,Total_Lower_Bounds_KgCO2,Total_Upper_Bounds_KgCO2,Source_System_Update_Timestamp,Insert_Gmt_Timestamp
HP EliteBook 840 14 inch G11 Notebook PC (951V2AV),2102057997,B89WLLA,SI,64295,Business Laptop PCs,01/01/2024 00:00:00,False,152,4,11,0.5,0,0,0,170,130,230,01/01/2024 00:00:00,01/01/2024 00:00:00
Victus by HP 15.6 inch Gaming Laptop 15-fb3000 IDS Base Model,2102671259,B89XFAV,TN,3329744,HP Home Laptop PCs,01/01/2023 00:00:00,False,201,5,27,0.800000012,0,0,0,230,180,320,01/01/2023 00:00:00,01/01/2023 00:00:00
Victus by HP 15.6 inch Gaming Laptop 15-fb3000 IDS Base Model,2102671259,B89XGAV,IE,3329744,HP Home Laptop PCs,01/01/2023 00:00:00,False,201,5,30,0.800000012,0,0,0,240,180,320,01/01/2023 00:00:00,01/01/2023 00:00:00
HP Z6 G5 A Workstation Desktop PC (7D8B9AV),2101669439,B89XJUA,PR,296719,Workstations,01/01/2025 00:00:00,False,311,5,968,2,0,0,0,1290,1150,1490,01/01/2025 00:00:00,01/01/2025 00:00:00
HP Pavilion x360 14 inch 2-in-1 Laptop PC 14-ek1000 (742J0AV),2101497677,B89Y4EA,RS,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,129,4,39,0.600000024,0,0,0,170,130,230,01/01/2024 00:00:00,01/01/2024 00:00:00
HP Pavilion x360 14 inch 2-in-1 Laptop PC 14-ek1000 (742H9AV),2101497676,B89Y5EA,TN,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,129,4,22,0.600000024,0,0,0,160,120,220,01/01/2024 00:00:00,01/01/2024 00:00:00
HP Pavilion Plus 14 inch Laptop PC 14-ew0000 (7X843AV),2101718473,B89Y6EA,BG,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,154,5,30,0.699999988,0,0,0,190,140,260,01/01/2025 00:00:00,01/01/2025 00:00:00
HP 15.6 inch Laptop PC 15-fc0000 (733M2AV),2101497692,B89Y8EA,UY,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,133,14,4,0.5,0,0,0,150,110,210,01/01/2024 00:00:00,01/01/2024 00:00:00
HP 15.6 inch Laptop PC 15-fc0000 (733M5AV),2101497695,B89Y9EA,SI,3329744,HP Home Laptop PCs,01/01/2023 00:00:00,False,133,4,19,0.5,0,0,0,160,120,210,01/01/2023 00:00:00,01/01/2023 00:00:00
HP 15.6 inch Laptop PC 15-fc0000 (733M5AV),2101497695,B89YBEA,UA,3329744,HP Home Laptop PCs,01/01/2023 00:00:00,False,133,4,24,0.5,0,0,0,160,120,220,01/01/2023 00:00:00,01/01/2023 00:00:00
HP 15.6 inch Laptop PC 15-fd0000 (70R04AV),2101497706,B89YGEA,CA,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,133,14,9,0.5,0,0,0,160,120,210,01/01/2024 00:00:00,01/01/2024 00:00:00
HP Envy x360 14 inch 2-in-1 Laptop PC 16-ad0000 (8Z967AV),2102007683,B89YHEA,CA,3329744,HP Home Laptop PCs,01/01/2024 00:00:00,False,134,18,7,0.699999988,0,0,0,160,120,220,01/01/2024 00:00:00,01/01/2024 00:00:00
HP Envy x360 14 inch 2-in-1 Laptop PC 16-ad0000 (8Z967AV),2102007683,B89YJEA,AU,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,134,0.699999988,36,0.699999988,0,0,0,170,130,230,01/01/2025 00:00:00,01/01/2025 00:00:00
HP 15.6 inch Laptop PC 15-fd0000 (B1PW2AV),2102764700,B89YTUA,AE,3329744,HP Home Laptop PCs,01/01/2025 00:00:00,False,133,4,40,0.5,0,0,0,180,140,230,01/01/2025 00:00:00,01/01/2025 00:00:00
string,string,B89YVUA,CN,0,string,06/09/2025 11:34:19,True,0,1,0,0,0,0,0,0,0,0,06/09/2025 11:34:19,06/09/2025 11:34:19
